type, name, country, latitude, longitude, elevation, population
city, Luhansk, UA, 48.56705, 39.31706, 103, 452000
city, Lysychans’k, UA, 48.90485, 38.44207, 183, 111600
city, Kiev, UA, 50.45466, 30.5238, 187, 2797553
city, Kryvyy Rih, UA, 47.90966, 33.38044, 99, 652380
city, Kremenchuk, UA, 49.06802, 33.42041, 66, 227494
city, Kramators’k, UA, 48.72305, 37.55629, 74, 173700
city, Kirovohrad, UA, 48.5132, 32.2597, 114, 249454
city, Khmel’nyts’kyy, UA, 49.42161, 26.99653, 286, 398346
city, Kherson, UA, 46.65581, 32.6178, 51, 320477
city, Kharkiv, UA, 49.98081, 36.25272, 113, 1430885
city, Kerch, UA, 45.3607, 36.4706, 3, 152195
city, Ivano-Frankivs’k, UA, 48.9215, 24.70972, 259, 204200
city, Horlivka, UA, 48.33576, 38.05325, 282, 278550
city, Donetsk, UA, 48.023, 37.80224, 223, 1024700
city, Dnipropetrovsk, UA, 48.45, 34.98333, 140, 1032822
city, Dniprodzerzhyns’k, UA, 48.51134, 34.6021, 94, 248575
city, Chernivtsi, UA, 48.29149, 25.94034, 228, 236250
city, Chernihiv, UA, 51.50551, 31.28488, 127, 307684
city, Cherkasy, UA, 49.42854, 32.06207, 107, 297568
city, Bila Tserkva, UA, 49.80939, 30.11209, 178, 199163
city, Berdyans’k, UA, 46.7663, 36.79882, 29, 118284
city, Alchevs’k, UA, 48.46893, 38.81669, 211, 116000
city, Lira, UG, 2.2499, 32.89985, 1104, 119323
city, Kampala, UG, 0.31628, 32.58219, 1223, 1353189
city, Gulu, UG, 2.77457, 32.29899, 1104, 146858
city, Birmingham, US, 33.52066, -86.80249, 187, 212237
city, Huntsville, US, 34.73037, -86.5861, 200, 180105
city, Mobile, US, 30.69436, -88.04305, 12, 195111
city, Montgomery, US, 32.36681, -86.29997, 76, 205764
city, Little Rock, US, 34.74648, -92.28959, 105, 193524
city, Washington, D.C., US, 38.89511, -77.03637, 6, 601723
city, Brandon, US, 27.9378, -82.28592, 20, 103483
city, Cape Coral, US, 26.56285, -81.94953, 6, 154305
city, Clearwater, US, 27.96585, -82.8001, 15, 107685
city, Coral Springs, US, 26.27119, -80.2706, 4, 121096
city, Fort Lauderdale, US, 26.12231, -80.14338, 20, 165521
city, Gainesville, US, 29.65163, -82.32483, 37, 124354
city, Hialeah, US, 25.8576, -80.27811, 8, 224669
city, Hollywood, US, 26.0112, -80.14949, 10, 140768
city, Jacksonville, US, 30.33218, -81.65565, 12, 821784
city, Miami, US, 25.77427, -80.19366, 25, 399457
city, Miami Gardens, US, 25.94204, -80.2456, 9, 107167
city, Miramar, US, 25.98731, -80.23227, 8, 122041
city, Orlando, US, 28.53834, -81.37924, 54, 238300
city, Palm Bay, US, 28.03446, -80.58866, 10, 103190
city, Pembroke Pines, US, 26.00315, -80.22394, 10, 154750
city, Port Saint Lucie, US, 27.29393, -80.35033, 8, 164603
city, Saint Petersburg, US, 27.77086, -82.67927, 16, 244769
city, Tallahassee, US, 30.43826, -84.28073, 71, 181376
city, Tampa, US, 27.94752, -82.45843, 41, 335709
city, Athens, US, 33.96095, -83.37794, 232, 116714
city, Atlanta, US, 33.749, -84.38798, 336, 420003
city, Columbus, US, 32.46098, -84.98771, 75, 189885
city, Savannah, US, 32.08354, -81.09983, 9, 136286
city, Springfield, US, 39.80172, -89.64371, 184, 116250
city, Evansville, US, 37.97476, -87.55585, 118, 117429
city, Indianapolis, US, 39.76838, -86.15804, 248, 829718
city, Kansas City, US, 39.11417, -94.62746, 272, 145786
city, Olathe, US, 38.8814, -94.81913, 324, 125872
city, Overland Park, US, 38.98223, -94.67079, 335, 173372
city, Topeka, US, 39.04833, -95.67804, 306, 127473
city, Wichita, US, 37.69224, -97.33754, 402, 382368
city, Ironville, US, 38.45647, -82.69238, 221, 288649
city, Lexington, US, 37.98869, -84.47772, 298, 225366
city, Lexington-Fayette, US, 38.0498, -84.45855, 304, 295803
city, Louisville, US, 38.25424, -85.75941, 143, 243639
city, Meads, US, 38.41258, -82.70905, 188, 288649
city, Baton Rouge, US, 30.45075, -91.15455, 20, 229493
city, Lafayette, US, 30.22409, -92.01984, 15, 120623
city, Metairie, US, 29.98409, -90.15285, 9, 138481
city, Metairie Terrace, US, 29.97854, -90.16396, 5, 142489
city, New Orleans, US, 29.95465, -90.07507, 18, 343829
city, Shreveport, US, 32.52515, -93.75018, 50, 199311
city, Baltimore, US, 39.29038, -76.61219, 35, 620961
