name,iata,type,latitude,longitude
Cassidy Int'l,CXI,mid,1.9861611979240215,-157.34977789343037
Siauliai Int'l,SQQ,mid,55.90376945403999,23.383188573869113
Niue Int'l,IUE,mid,-19.076712935451056,-169.92612977421672
Guarani Int'l,AGT,mid,-25.456857071581247,-54.83939952960621
Rodriguez Ballon Int'l,AQP,mid,-16.344552065351998,-71.56793353852852
Vladivostok Int'l,VVO,mid and military,43.377649253388505,132.13984172071468
Pristina,PRN,major,42.58503311534483,21.03026901247459
Deurne,ANR,mid,51.18912850638064,4.450922773999088
Gen. Marquez de Leon Int'l,LAP,mid,24.076090352180334,-110.36719785980947
Harbin Taiping,HRB,major,45.62060117232452,126.2369830308627
Trivandrum Int'l,TRV,mid,8.476509938945144,76.91890256129132
Adnan Menderes,ADB,major,38.29123476451746,27.149297595266408
Nanjing Lukou Int'l,NKG,major,31.73532492961766,118.86610214690592
Freeport Int'l,FPO,mid,26.548246747188983,-78.70393431144967
Tripoli Int'l,TIP,major,32.66916955049933,13.144258981071262
Gander Int'l,YQX,mid,48.946598006073565,-54.57557190935781
Doha Int'l,DOH,major and military,25.268246131050645,51.558548787654715
Albuquerque Int'l,ABQ,major,35.04915780182765,-106.6166851616002
V.C. Bird Int'l,ANU,mid,17.140359937161683,-61.792367669835826
Faleolo,APW,mid,-13.832501332395603,-171.99732221833983
Asyut,ATZ,mid,27.05081584069781,31.016249043801107
Bahrain Int'l,BAH,major,26.269697149949714,50.62600287575336
Bradley Int'l,BDL,major,41.93031600583518,-72.68539474333903
Grantley Adams Int'l,BGI,mid,13.079661104553033,-59.48741889531585
Yundum Int'l,BJL,mid,13.343860478894186,-16.652313269807472
Bujumbura Int'l,BJM,mid,-3.322044349131131,29.32098401699387
Chileka Int'l,BLZ,mid,-15.68138447932725,34.971944183793276
Broome Int'l,BME,mid,-17.95257612926801,122.23385051502184
Bandar Abbass Int'l,BND,mid,27.210325845514543,56.368886456411
Basrah Int'l,BSR,major,30.552799016106043,47.668376663351836
Ciudad Juarez Int'l,CJS,mid,31.635756620195146,-106.4358466310554
Katunayake Int'l,CMB,major,7.1780771054422114,79.88525734215062
Cairns Int'l,CNS,mid,-16.876742155406177,145.75358484439977
Chiang Mai Int'l,CNX,major,18.768847391967526,98.96811812415933
City of Colorado Springs,COS,major,38.79742487791252,-104.70088027411134
Ign. Alberto Ongay Int'l,CPE,mid,19.81422479920744,-90.50362837340384
Changsha Huanghua Int'l,CSX,major,28.189921861945066,113.21405420325205
Greater Cincinnati Int'l,CVG,major,39.05541890478304,-84.65616991533919
Da Nang,DAD,major,16.05314414516696,108.20270625793569
Dallas Love Field,DAL,major,32.84442537327384,-96.84986377097995
Damascus Int'l,DAM,major,33.41143667027319,36.51289547181257
Enrique Malek Int'l,DAV,mid,8.391261061169175,-82.43175833693866
Aba Tenna D. Yilma Int'l,DIR,mid,9.61267784753569,41.857756722253
Bali Int'l,DPS,major,-8.744757315956518,115.16232296110661
Des Moines Int'l,DSM,major,41.5327904242113,-93.64846125637362
Entebbe Int'l,EBB,mid,0.04494094938867206,32.4427573135214
Kisangani Bangoka Int'l,FKI,mid,0.4922251369175005,25.330271489621154
Fuzhou Changle Int'l,FOC,mid,25.931823314814313,119.6680438209992
Lokpriya G. Bordoloi Int'l,GAU,mid,26.105247592425503,91.58822905818697
Gdansk Lech Walesa,GDN,major,54.380702535292464,18.468442216591136
Point Salines Int'l,GND,mid,12.007268305428271,-61.78585299092849
Nizhny Novgorod Int'l,GOJ,mid,56.21855259106556,43.789633706293515
Gen. Jose M. Yanez Int'l,GYM,mid,27.969455396282893,-110.9216512704022
Hohhot Baita Int'l,HET,mid,40.85406009065522,111.81468182162591
Helena Reg.,HLN,mid,46.61020435289996,-111.9898968960076
Gen. Ignacio P. Garcia Int'l,HMO,mid,29.090077252344535,-111.0519017118191
Dulles Int'l,IAD,major,38.95277403795302,-77.44779257692062
Hilo Int'l,ITO,mid,19.714797686866262,-155.0396297334349
Jackson Int'l,JAN,major,32.31006002736351,-90.07509862769238
Jacksonville Int'l,JAX,major,30.491352730947966,-81.68357672783112
Kuching Int'l,KCH,mid,1.487207937790097,110.3418370543153
Kigali Int'l,KGL,mid,-1.9636544366413797,30.13487681878561
Balice,KRK,major,50.07226306483314,19.800977284450408
Kurumoch,KUF,major,53.50838481909353,50.14726552101905
Guilin Liangjiang Int'l,KWL,major,25.217605525229324,110.04689349777009
Laoag Int'l,LAO,mid,18.182418086637874,120.53387619612701
LaGuardia,LGA,major,40.77455393988576,-73.8719858204814
London Gatwick,LGW,major,51.155756751927456,-0.16296163913945588
Ljubljana,LJU,major,46.230544555448624,14.454812628326566
Amausi Int'l,LKO,mid,26.763932870091633,80.88417197324722
La Plata,LPG,mid,-34.9655441559234,-57.89538206365101
Gen. Sevando Canales,MAM,mid,25.770841264061858,-97.53082171211871
Manchester Int'l,MAN,major,53.36248960665181,-2.2733715906942735
Kansas City Int'l,MCI,major,39.297895826365945,-94.71591485791544
Seeb Int'l,MCT,major,23.588570417585636,58.2904804753493
Habib Bourguiba Int'l,MIR,mid,35.76071044217803,10.75336818505404
Marseille Provence Airport,MRS,major,43.44106000164679,5.221379177203373
Quetzalcoatl Int'l,NLD,mid,27.449689650831623,-99.5680081930063
Nanning Wuwu Int'l,NNG,major,22.612037054178508,108.16801227333096
Xoxocotlan Int'l,OAX,mid,17.000559256974505,-96.72179593849754
Kahului,OGG,mid,20.89328851511117,-156.4374295813534
Will Rogers,OKC,major,35.39527749117442,-97.59611775420922
Norfolk Int'l,ORF,major,36.89823946736742,-76.2044231712327
Palm Beach Int'l,PBI,major,26.688441666432965,-80.09018933833873
Pengel Int'l,PBM,mid,5.455999677974393,-55.199911389290236
Bolshesavino,PEE,mid,57.919771123169134,56.019560282029694
Penang Int'l,PEN,mid,5.292656277904887,100.26578638095476
Port Harcourt Int'l,PHC,mid,5.007003476739435,6.9498974272319085
Port Hedland Int'l,PHE,mid,-20.378127296072336,118.63179781561529
Pierre Regional,PIR,mid,44.38015346687622,-100.29264198170532
Greater Pittsburgh Int'l,PIT,major,40.496051891528495,-80.2561290571918
Pago Pago Int'l,PPG,mid,-14.329064185030566,-170.71330705373444
Birmingham Int'l,BHX,major,52.45290855428381,-1.7337317043445242
Roberts Int'l,ROB,mid,6.241834565545255,-10.353085186793352
Raipur,RPR,mid,21.18598685614469,81.74037759152014
El Salvador Int'l,SAL,mid,13.444748122861604,-89.0572035692743
San Diego Int'l,SAN,major,32.73226455701319,-117.19751102573103
San Antonio Int'l,SAT,major,29.526620339131505,-98.4719699991559
Savannah Int'l,SAV,major,32.13564155229021,-81.20996477509134
Antonio Maceo,SCU,mid,19.972428871762215,-75.83988776397909
Ponciano Arriaga Int'l,SLP,mid,22.255713049590337,-100.93647781626697
Sacramento Int'l,SMF,major,38.6927238925554,-121.58789487772277
Cibao Int'l,STI,mid,19.46592191528884,-70.69417832244676
Koltsovo,SVX,major,56.73224561204597,60.80580334321738
Syracuse Hancock Int'l,SYR,major,43.13178449437413,-76.1130789991049
Tabriz,TBZ,mid,38.131110768817514,46.244713373574
Torreon Int'l,TRC,mid,25.56321643998958,-103.39878782857888
Tulsa Int'l,TUL,major,36.19012756519499,-95.88988227154202
Mcghee Tyson,TYS,major,35.80574480270883,-83.98993783275846
Ufa Int'l,UFA,major,54.56513235789718,55.884077341183726
Hewanorra Int'l,UVF,mid,13.736523805048892,-60.949973772346056
Windhoek Hosea Kutako Int'l,WDH,mid,-22.486953120204117,17.463225902813253
Sault Ste Marie,YAM,mid,46.485417510192555,-84.50060899997175
Dawson Cr.,YDQ,mid,55.7394117074557,-120.18559561910142
Edmonton Int'l,YEG,major,53.307200161918324,-113.5844925644056
Halifax Int'l,YHZ,major,44.886545450100954,-63.514965250167336
Kamloops,YKA,mid,50.70519551845913,-120.44173476396232
Sudbury,YSB,mid,46.622750820489316,-80.79577478171052
Saint John,YSJ,mid,45.329230595501656,-65.89055736811677
Prince George,YXS,mid,53.884248575113766,-122.67401474398616
Victoria Int'l,YYJ,major,48.64052948217902,-123.43062453952774
Zamboanga Int'l,ZAM,mid,6.919757748058303,122.06243232163732
Lanzhou Zhongchuan,ZGC,mid,36.50788424612367,103.61541536304331
Albany Int'l,ALB,mid,42.745661980172905,-73.80935188431725
General Mitchell Int'l,MKE,major,42.94791987295855,-87.90210562507438
Wang-Chia Tun Airbase,"",military mid,30.60171411967017,114.24694737615044
Sanya Phoenix Int'l,SYX,major,18.309095990859316,109.40823949107957
Lhasa Gonggar,LXA,mid,29.29369361231842,90.9005610194027
Hotan,HTN,mid,37.04003635097652,79.87230052121915
Dresden,DRS,major,51.125091242887116,13.764967144004661
Kenitra Air Base,NNA,military major,34.298667363822325,-6.5977536281159965
Annemasse,QNJ,mid,46.19572832862606,6.264910853641591
Nogales Int'l,NOG,mid,31.225537174115924,-110.97272130167508
Strasbourg,SXB,mid,48.54469617217594,7.627841966889242
Cologne/Bonn,CGN,major,50.87825966294709,7.122359755245386
Kimhae Int'l,PUS,major,35.17028406368295,128.9488013790388
Jeju Int'l,CJU,major,33.52471731503988,126.49162940197242
Stavanger Sola,SVG,major,58.88215648421848,5.629810329721799
Trondheim Vaernes,TRD,major,63.472029381716986,10.916809524144515
Corumba Int'l,CMG,mid,-19.01416628855335,-57.663607892554346
Madeira,FNC,mid,32.69336428474887,-16.775637453121334
Foz do Iguaçu Int'l,IGU,mid,-25.597683216210232,-54.48859227356332
Gov. Jorge Teixeira de Oliveira Int'l,PVH,mid,-8.714424828592882,-63.89846250042134
Bilbao,BIO,mid,43.30508298111947,-2.9060901167980533
Palma de Mallorca,PMI,major,39.56577585862541,2.729976602006474
Tenerife N.,TFN,major,28.487577026773145,-16.346317567926352
Gothenburg,GOT,major,57.685749353487864,12.29382690925731
Lulea,LLA,major,65.54903624776163,22.123027124394543
Abu Dhabi Int'l,AUH,major,24.42722715297642,54.646329322555786
Mohamed Boudiaf Int'l,CZL,mid,36.28344094416007,6.621946651812188
Aswan Int'l,ASW,mid,23.968276544177797,32.82443724629733
Rovaniemi,RVN,mid,66.55955641685094,25.829440976045195
Cheddi Jagan Int'l,GEO,mid,6.498552908135722,-58.25411919258886
Cochin Int'l,COK,major,10.155118762811767,76.39051985020242
Eldoret Int'l,EDL,mid,0.4050714754603605,35.223693065830126
Incheon Int'l,ICN,major,37.449208862434624,126.45087598079584
Federal de Bachigualato Int'l,CUL,mid,24.766804039046114,-107.46986379289618
Benazir Bhutto Int'l,ISB,major and military,33.607445750752625,73.10079364718818
Brussels,BRU,major,50.89729496415108,4.484640324082722
Abuja Int'l,ABV,major,9.00437659781094,7.2702599397435606
Arcata-Eureka,ACV,mid,40.97192453813144,-124.10706552013855
Austin-Bergstrom Int'l,AUS,major,30.202108192074945,-97.66683676460543
Antalya,AYT,major,36.915323305186774,30.80255264394152
Belfast Int'l,BFS,major,54.66155754701032,-6.2161694373495795
Orio Al Serio,BGY,major,45.66549805606945,9.698917693997402
Kota Kinabalu Int'l,BKI,mid,5.922894454748071,116.05108787336903
Bengaluru Int'l,BLR,major,13.200610806960903,77.70955798895749
Canberra Int'l,CBR,major,-35.3071855902909,149.19076053967132
Port Columbus Int'l,CMH,major,39.9981181922432,-82.8840306426634
Mohamed V Int'l,CMN,major,33.374727481539615,-7.581455990257197
Dusseldorf Int'l,DUS,major,51.2781820420774,6.76494446612174
Esenboga Int'l,ESB,major,40.11512782732336,32.99301007720143
Hamilton Int'l,HLZ,mid,-37.865841148482694,175.33622143270816
Rajiv Gandhi Int'l,HYD,major,17.235983150747067,78.42953613451998
John F Kennedy Int'l,JFK,major,40.645959558408144,-73.78632686092955
Boryspil Int'l,KBP,major,50.34090233887696,30.89516216155281
Khartoum,KRT,major,15.59222265308578,32.550153296632956
Dane Cty. Reg. (Truax Field),MSN,major,43.13630823858675,-89.34578478944866
Minsk Int'l,MSQ,major,53.88937923980054,28.034193334637767
Palermo,PMO,major,38.186335108489494,13.105530988863753
T.F. Green,PVD,mid,41.726001984718906,-71.4357841445789
Southwest Florida Int'l,RSW,major,26.527928806765104,-81.75512314093055
Shenyang Taoxian Int'l,SHE,major,41.634789133958215,123.4879744303385
Sharjah Int'l,SHJ,major,25.321196401906818,55.52050719488528
San Jose Int'l,SJC,major,37.36949059089655,-121.92942898353154
John Wayne,SNA,major,33.6794857329549,-117.8614892203934
Stuttgart,STR,major,48.69010513589129,9.193951089455357
Nacional Tobias Bolanos,SYQ,mid,9.958278519196229,-84.13860919715941
Shenzhen Bao'an Int'l,SZX,major,22.64650771478675,113.81585275108512
Louisville Int'l,SDF,major,38.18602071526992,-85.74170275973673
Geneva,GVA,major,46.23100951015795,6.107945774236034
Lyon-Saint Exupery,LYS,mid,45.72101868346691,5.075944318134586
Kansai Int'l,KIX,major,34.43479416292695,135.24445977247638
Lisbon Portela,LIS,major,38.770762342751425,-9.130694409310712
Tancredo Neves Int'l,CNF,major,-19.63278212187474,-43.96358152099491
Bromma,BMA,mid,59.35559020651122,17.945617540614503
Juanda Int'l,SUB,major,-7.383578985275999,112.77703459493297
Astor Piazzolla Int'l,MDQ,mid,-37.93321612044816,-57.581615093239215
Owen Roberts Int'l,GCM,major,19.29591074371222,-81.35767061622893
Zhengzhou Xinzheng Int'l,CGO,major,34.52630271989567,113.84183130284451
Dalian Zhoushuizi Int'l,DLC,major,38.96157023002216,121.53891378010117
Heraklion Int'l,HER,major,35.33690241010455,25.17405582432718
Tbilisi Int'l,TBS,major,41.66944201872605,44.964614614166365
Cascais,XXC,mid,38.72353532083235,-9.354582402639275
Kaohsiung Int'l,KHH,major,22.57170610544221,120.34515634215063
Sadiq Abubakar III,SKO,mid,12.917482416618078,5.200226160326513
Mariscal Sucre Int'l,UIO,mid,-0.14555240846688244,-78.48999255457005
Karachi Civil,KHI,mid,24.898524368959485,67.15212835929466
Kishinev S.E.,KIV,mid,46.93416199003912,28.93604875622555
Jorge Chavez,LIM,major,-12.0237161502221,-77.10756569313422
Thunder Bay Int'l,YQT,mid,48.37188114925079,-89.31214212381362
Vilnius,VNO,major,54.64305493075424,25.28071644972846
Hsien Yang,XIY,major,34.442939105442214,108.75581134215064
Del Norte Int'l,NTR,mid,25.859873767729045,-100.2383941865767
Fua'amotu Int'l,TBU,mid,-21.24861,-175.135635
Esfahan Int'l,IFN,mid,32.74608053443211,51.87639168126809
Harare Int'l,HRE,mid,-17.9228,31.1014
Kuwait Int'l,KWI,major,29.239680058158292,47.97148255933165
Macdonald-Cartier Int'l,YOW,major,45.3201348196531,-75.66489338702053
Kabul Int'l,KBL,mid,34.56339788641491,69.21007362708741
Abidjan Port Bouet,ABJ,mid,5.254398445149204,-3.9322192916763594
General Juan N Alvarez Int'l,ACA,major,16.761967352779976,-99.75450856196812
Kotoka Int'l,ACC,major,5.606981523811933,-0.17140285566081673
Bole Int'l,ADD,mid,8.981730275810992,38.7931904366343
Aden Int'l,ADE,mid,12.8278,45.030602
Adelaide Int'l,ADL,mid,-34.9405860275154,138.5321014576991
Almaty Int'l,ALA,major,43.34649431447929,77.01204587711747
Houari Boumediene,ALG,major,36.69972066635346,3.212073535165055
Aleppo Int'l,ALP,major,36.18462373143136,37.22734140578282
Sardar Vallabhbhai Patel Int'l,AMD,mid,23.070745463588118,72.62090008843316
Cerro Moreno Int'l,ANF,mid,-23.448954524831667,-70.44099085094066
Ashkhabad Northwest,ASB,mid,37.98485343895699,58.363965920824604
Yohannes Iv Int'l,ASM,mid,15.29361596964986,38.90635401363214
Silvio Pettirossi Int'l,ASU,mid,-25.241659253381577,-57.51390782471363
Bermuda Int'l,BDA,mid,32.359173960158074,-64.70277406865142
Surcin,BEG,major,44.81907666544326,20.291284594662077
Beirut Int'l,BEY,major,33.825440061866765,35.4930853618161
Bairagarh,BHO,mid,23.285568486980882,77.34087147135794
Bamako Senou,BKO,mid,12.539336342586719,-7.947272269708012
Nashville Int'l,BNA,major,36.13148763616973,-86.66928673563747
Brisbane Int'l,BNE,major,-27.38539659390988,153.1202564188439
Boise Air Terminal,BOI,major,43.5689592234704,-116.2218410705487
Wiley Post Will Rogers Mem.,BRW,mid,71.289299,-156.771835
Greater Buffalo Int'l,BUF,major,42.93403374935259,-78.73199655233083
Bulawayo,BUQ,mid,-20.015568409490825,28.622552042904037
Brunei Int'l,BWN,major,4.945475282276854,114.93311902920937
Guangzhou Baiyun Int'l,CAN,major,23.3891511573243,113.29751655217066
Carriel Sur Int'l,CCP,mid,-36.7763727437881,-73.06210617462139
Netaji Subhash Chandra Bose Int'l,CCU,major,22.645389378506415,88.44000101301965
Chittagong,CGP,mid,22.24556585857375,91.81471071623834
Christchurch Int'l,CHC,major,-43.48854867841038,172.53867556522317
Conakry,CKY,mid,9.574181158500823,-13.621065625167132
Hopkins Int'l,CLE,major,41.41119161249661,-81.83844060640457
Alfonso Bonilla Aragon Int'l,CLO,mid,3.5432863512321924,-76.38507147280909
Cotonou Cadjehon,COO,mid,6.3582465034691,2.383800072435198
Ingeniero Ambrosio L.V. Taravella Int'l,COR,mid,-31.31568116848888,-64.21231576708007
Rafael Nunez,CTG,mid,10.444938176491519,-75.51233495596824
Cancun,CUN,major,21.04019667144003,-86.87441725066944
General R F Villalobos Int'l,CUU,mid,28.70399849976794,-105.969204692629
Zia Int'l Dhaka,DAC,mid,23.84812432181269,90.40492415992367
Darwin Int'l,DRW,major and military,-12.40805599665558,130.8775014367739
Louis Botha,DUR,mid,-29.965914250828032,30.945708194088084
Lubumbashi Luano Int'l,FBM,mid,-11.5908,27.5292
Saiss,FEZ,mid,33.930525184467264,-4.982146376783026
Kinshasa N Djili Int'l,FIH,mid,-4.389168821975817,15.446516207456082
Freetown Lungi,FNA,mid,8.615423617263689,-13.200229678648256
Sunan,FNJ,mid,39.200177166765556,125.67532157120056
Vasilyevka,FRU,major,43.055452723330326,74.46880033990898
Sir Seretse Khama Int'l,GBE,mid,-24.558071808944057,25.92438082641467
Don Miguel Hidalgo Int'l,GDL,major,20.524686348517278,-103.30076622275178
Glasgow Int'l,GLA,major,55.86418285703546,-4.431677969951069
La Aurora,GUA,mid,14.588160829005092,-90.53018111137798
Simon Bolivar Int'l,GYE,mid,-2.1583379069913615,-79.88700964393296
Noi Bai,HAN,major,21.214559670724526,105.80375943680576
Jose Marti Int'l,HAV,major,22.99735333644277,-82.4074206289499
Borg El Arab Int'l,HBE,mid,30.91837127862389,29.692666015230046
King Abdul Aziz Int'l,JED,major,21.670685787812808,39.150499678044795
Kano Mallam Aminu Int'l,KAN,mid,12.045707160174642,8.522137183957666
Kashi,KHG,mid,39.537968630625755,76.01301480600748
Norman Manley Int'l,KIN,major,17.937575155275226,-76.77868976165765
Tribhuvan Int'l,KTM,mid,27.700281675160912,85.357139531668
Luanda 4 de Fevereiro,LAD,mid,-8.84831327917379,13.234795750269944
Pulkovo 2,LED,major,59.805406160189726,30.30709764546479
Allama Iqbal Int'l,LHE,mid,31.520629651820634,74.41088101817482
Kamuzu Int'l,LLW,mid,-13.788622823745978,33.78278850197883
Lagos Murtala Muhammed,LOS,major,6.5782594454046714,3.3211243528133374
El Alto Int'l,LPB,mid,-16.509879221397668,-68.17800552779448
Lusaka Int'l,LUN,mid,-15.326852250944736,28.44554432110191
Luxor,LXR,mid,25.673034778602332,32.70329708486226
Chennai Int'l,MAA,major,12.982530166915435,80.16377597315451
La Chinita Int'l,MAR,mid,10.555759468497213,-71.72376880946867
Jose Maria Cordova,MDE,mid,6.171001614358001,-75.4269557399772
Memphis Int'l,MEM,major,35.04441012400894,-89.98162803532371
Augusto Cesar Sandino Int'l,MGA,mid,12.144635873435028,-86.1712846229543
Mashhad,MHD,major,36.22755031349836,59.64219435740293
Miami Int'l,MIA,major,25.79494072124062,-80.2789718277441
Lic M Crecencio Rejon Int'l,MID,mid,20.933860386429597,-89.66302357364343
Luqa,MLA,major,35.848930794350125,14.495264455505483
Moi Int'l,MBA,major,-4.032652625796572,39.60266318703833
Moshoeshoe I Int'l,MSU,mid,-29.45557400461012,27.559216033361427
New Orleans Int'l,MSY,major,29.985114146062223,-90.25669394805942
Multan,MUX,major and military,30.195078090496487,71.41899543293198
Carrasco Int'l,MVD,major,-34.84104859885686,-56.026636146282
General Rafael Buelna Int'l,MZT,mid,23.16659609713445,-106.27001661788533
Nassau Int'l,NAS,major,25.048691060086554,-77.46484722909442
Ndjamena,NDJ,mid,12.129540018411483,15.03304463855593
Niamey,NIM,mid,13.476757280794157,2.1773067118412497
Mactan-Cebu Int'l,CEB,major,10.315875672729177,123.97913450866376
Nova Lisboa,NOV,mid,-12.802541457591508,15.749761845959533
Eppley Airfield,OMA,mid,41.29971114530123,-95.89941579531211
Nome,OME,mid,64.50722070266309,-165.44164171228104
Ouagadougou,OUA,mid,12.353580026047329,-1.5138053616511347
Mais Gate Int'l,PAP,mid,18.57568290542864,-72.29447802604733
Puebla,PBC,mid,19.16379354658405,-98.37575979042302
Portland Int'l,PDX,major,45.58895693153053,-122.5927388812541
Perth Int'l,PER,major,-31.941129794578288,115.9742249422326
H F Verwoerd,PLZ,mid,-33.98408774313735,25.611777756760176
El Tepual Int'l,PMC,mid,-41.433382070226884,-73.09838413364236
Pochentong,PNH,major,11.552644917651318,104.84502761245697
Pune,PNQ,major and military,18.579176611532837,73.90898381100165
Port Moresby Int'l,POM,major,-9.43865269316142,147.21125085597714
Tocumen Int'l,PTY,major,9.066872422658388,-79.38713482154378
Carlos Ibanez de Campo Int'l,PUQ,mid,-53.005069825517666,-70.84312378513243
Durham Int'l,RDU,major,35.8752323452255,-78.79138140067508
Mingaladon,RGN,major,16.90115428182508,96.13419461149468
Riga,RIX,major,56.922003878609694,23.979379111699508
Sanaa Int'l,SAH,mid,15.47390277557374,44.22464679025606
Baghdad Int'l,SDA,major,33.26816298637704,44.22891253529416
De Las Americas Int'l,SDQ,major,18.430219694817325,-69.67647267546673
Tan Son Nhat,SGN,major,10.816300557187912,106.66424614137476
Thessaloniki,SKG,major,40.52387368877751,22.976435361061277
Vrazhdebna,SOF,major,42.6891841273195,23.402452135770766
Surat,STV,major,21.120450329717173,72.74243843725891
Nausori Int'l,SUV,mid,-18.045899692285367,178.5600483699593
Shiraz Int'l,SYZ,major,29.545801384287437,52.58977127452107
Gen Francisco J Mina Int'l,TAM,mid,22.289331952506398,-97.8698137568394
Toncontin Int'l,TGU,mid,14.0599852192071,-87.21921163489864
Mehrabad Int'l,THR,major,35.69137433049459,51.32080697175721
Tirane Rinas,TIA,major,41.4208514680567,19.71503240497222
General Abelardo L Rodriguez Int'l,TIJ,major,32.54604991350133,-116.97547609559751
Jose Maria Morelos Y Pavon,TLC,mid,19.338688042303197,-99.5706494463542
Ulemiste,TLL,major,59.41650146974512,24.798964869982985
Ben Gurion,TLV,major,32.000746850184434,34.87084991809952
Sao Tome Salazar,TMS,mid,0.37474421369942695,6.712821930056672
Antananarivo Ivato,TNR,mid,-18.799334876308173,47.47535400095789
Tampa Int'l,TPA,major,27.980040085218384,-82.534824252055
Zim Valencia,VLN,mid,10.15400568839794,-67.9223617121873
Gumrak,VOG,mid,48.79167646576109,44.354767968489014
Vientiane,VTE,mid,17.975459594832063,102.5682381957277
Viru Viru Int'l,VVI,mid,-17.647946825783897,-63.14038882182134
Wellington Int'l,WLG,major,-41.32898918446593,174.81166526823756
Prince Rupert,YPR,mid,54.292,-130.445587
Windsor,YQG,mid,42.265878472719756,-82.96008773894485
Regina,YQR,mid,50.433219286718334,-104.65543397537115
Vancouver Int'l,YVR,major,49.19355903957153,-123.18086700381177
Winnipeg Int'l,YWG,major,49.90333024716708,-97.22676948095848
John G Diefenbaker Int'l,YXE,mid,52.170143944738115,-106.69018196755394
Whitehorse Int'l,YXY,mid,60.714152148139725,-135.07621008940154
Calgary Int'l,YYC,major,51.130857256754865,-114.01056050023648
Charlottetown,YYG,mid,46.28581313675246,-63.131234133323375
Churchill,YYQ,mid,58.7497237849788,-94.0813639506318
St John's Int'l,YYT,mid,47.61311790079545,-52.743333742863804
Yellowknife,YZF,mid,62.470737361020184,-114.43784633504919
Zagreb,ZAG,major,45.73332667309836,16.061513800901448
Zanzibar,ZNZ,mid,-6.218570346202824,39.22233198415581
Reykjavik Air Terminal,REK,mid,64.13187286099006,-21.94663440313274
Arkhangelsk-Talagi,ARH,mid,64.59674377304546,40.71334656945939
Kazan Int'l,KZN,major,55.60806014297645,49.29844580364066
Paris Orly,ORY,major,48.73130304580517,2.367379127837731
Quebec,YQB,major,46.79156843633076,-71.38392807117314
Montreal-Trudeau,YUL,major,45.45835122945313,-73.74931626504166
Narita Int'l,NRT,major,35.764056072782786,140.3844017091791
Chubu Centrair Int'l,NGO,major,34.85902969581623,136.81477128682428
Okadama,OKD,mid,43.11064959909785,141.38210045007517
Bergen Flesland,BGO,major,60.28906105029659,5.227253115623363
Tromso Langnes,TOS,major,69.67967904734776,18.907262429213173
Val de Caes Int'l,BEL,mid,-1.3897462879554638,-48.479560289379336
Campo Grande Int'l,CGR,mid,-20.45727173603113,-54.66894987813051
Afonso Pena Int'l,CWB,mid,-25.536000143055837,-49.173709366346884
Pinto Martins Int'l,FOR,mid,-3.7785949623309087,-38.540747249833416
Sao Paulo-Guarulhos Int'l,GRU,major,-23.42611557704206,-46.48175360884203
Santa Genoveva,GYN,mid,-16.632366572163658,-49.22664649059936
Salgado Filho Int'l,POA,mid,-29.990193017060918,-51.17704094881724
Gilberto Freyre Int'l,REC,mid,-8.131625530762387,-34.91826671748514
Deputado Luis Eduardo Magalhaes Int'l,SSA,mid,-12.914361497032587,-38.3347989911732
El Plumerillo,MDZ,mid,-32.82780016927193,-68.79848383944727
Eduardo Gomes Int'l,MAO,mid,-3.0321390062590967,-60.04606458988538
Yaounde Nsimalen Int'l,NSI,mid,3.7148452070812583,11.547994139680723
Shanghai Pudong Int'l,PVG,major,31.152309029553294,121.80151876057847
Marka Int'l,ADJ,mid,31.97419940154417,35.984105236244915
Male Int'l,MLE,major,4.188700903233721,73.52739028368441
Gen. Heriberto Jara Int'l,VER,mid,19.142423702501713,-96.18357021436948
Osvaldo Vieira Int'l,OXB,mid,11.888923145485485,-15.651185561666004
Francisco Bangoy Int'l,DVO,major,7.130537461630729,125.64506660943381
Seychelles Int'l,SEZ,mid,-4.671069141785209,55.51155192467932
Leopold Sedar Senghor Int'l,DKR,major,14.745630614674791,-17.490407907719003
Port Sudan New Int'l,PZU,mid,19.434105238523106,37.23874759810247
Tashkent Int'l,TAS,major,41.26223387673829,69.26661372411293
Copenhagen,CPH,major,55.628501722152784,12.64935086845077
Aeroportul National Bucuresti-Baneasa,BBU,mid,44.49704145597203,26.085725158776373
Ferihegy,BUD,major,47.43327426924795,19.26223016778808
Chongqing Jiangbei Int'l,CKG,major,29.724042224168777,106.63801970481096
Douglas Int'l,CLT,major,35.220428168559714,-80.94392773427626
Detroit Metro,DTW,major,42.22572045080041,-83.3478935065615
Dublin,DUB,major,53.42700828497004,-6.243884910371394
Fairbanks Int'l,FAI,major,64.81809811173692,-147.86572112079517
Hamburg,HAM,major,53.63200116408658,10.005647830925001
Kuala Lumpur Int'l,KUL,major,2.7475129579181066,101.71388632574273
Mccarran Int'l,LAS,major,36.08496023833674,-115.15132395128332
Orlando Int'l,MCO,major,28.431150679113763,-81.30737133079849
Minneapolis St. Paul Int'l,MSP,major,44.882026363196815,-93.20810037183008
Franz-Josef-Strauss,MUC,major,48.35383739616085,11.788062719243687
Philadelphia Int'l,PHL,major,39.876087236427,-75.2429857676998
Sky Harbor Int'l,PHX,major,33.43586076394977,-112.01363529772982
Salt Lake City Int'l,SLC,major,40.786729005370844,-111.98198487999271
Lambert St Louis Int'l,STL,major,38.742716315520354,-90.36595453506747
Okecie Int'l,WAW,major,52.171026749259035,20.97272633835865
