name,iata,type,latitude,longitude
Ensenada,ESE,mid,31.797713976056865,-116.59572440041782
Vagar,FAE,mid,62.0625,-7.2708
Hector Int'l,FAR,mid and military,46.919817881132275,-96.8254561269675
Fresno Yosemite Int'l,FAT,mid,36.76981283739594,-119.72000132357581
Flagstaff Pulliam,FLG,mid,35.13891167579759,-111.6746561716751
Mundo Maya Int'l,FRS,mid,16.914974164222567,-89.87784042265082
Sioux Falls Reg.,FSD,mid,43.58019349727632,-96.73138310175408
Spokane Int'l,GEG,major,47.62547812783678,-117.53683662858516
Exuma Int'l,GGT,mid,23.56388290692585,-75.87261308530395
Gibraltar,GIB,mid,36.15127475041734,-5.346771800333878
Gerald R. Ford Int'l,GRR,mid,42.88477760209079,-85.52957320727401
Triad Int'l,GSO,major,36.105378199893245,-79.93648675774836
Great Falls Int'l,GTF,mid,47.482270729263035,-111.35668472784
Gaziantep Oguzeli Int'l,GZT,major,36.945363344687536,37.473803252189995
Hubli,HBX,mid,15.359183338622918,75.08631556802813
Hat Yai Int'l,HDY,mid,6.93634231940664,100.39375127467132
Hefei-Luogang,HFE,mid,31.77985767957784,117.30419701588772
Hurghada Int'l,HRG,major,27.18042609181859,33.807160641411784
Kharkov Int'l,HRK,major,49.92153606315507,36.28220107735029
Huntsville Int'l,HSV,major,34.648334460931935,-86.77494305633734
Ibadan,IBA,mid,7.360343972693927,3.973813343322902
Kansas City Int'l,ICT,major,37.6529279603903,-97.4287387683976
Wilmington Int'l,ILM,mid,34.266784067199566,-77.91037565604692
Ilorin Int'l,ILR,mid,8.435376519352406,4.494840388199345
Falls Int'l,INL,mid,48.56599308484143,-93.39800275527939
Inverness,INV,mid,57.53950029234238,-4.063591755871405
Imperial Cty.,IPL,mid,32.8339586685524,-115.57199556657955
Jammu,IXJ,mid,32.68104288862249,74.8423077638915
Madurai,IXM,mid,9.837186278775658,78.09113949371941
Jodhpur,JDH,major and military,26.26376234583514,73.05054918956712
Jabalpur,JLR,mid,23.1845328746465,80.0587438885277
Kilimanjaro Int'l,JRO,mid,-3.4244449599817792,37.06518960677478
Kaduna,KAD,mid,10.694619286239067,7.3252534740743425
Kananga,KGA,mid,-5.9001665622704085,22.47833324826895
Kumasi,KMS,mid,6.714606387503645,-1.5925752658236147
Vina del Mar,KNA,mid,-32.94839176513599,-71.4806025354969
Kanpur,KNU,mid,26.43883344670418,80.36753387720022
Kona Int'l at Keahole,KOA,mid,19.737099139944235,-156.04088947105768
Kirkwall,KOI,mid,58.95442887883035,-2.9013784952450767
Kota,KTU,mid,25.16341871667427,75.85049779445515
Konya,KYA,major and military,37.98399455316949,32.575673266968714
Blue Grass,LEX,major,38.03742731813716,-84.59826819187857
Lihue,LIH,mid,21.978124316208824,-159.34908429052206
Little Rock National,LIT,major,34.728430041517875,-92.22058813192886
Los Mochis,LMM,mid,25.68850882609902,-109.08269464526103
Venustiano Carranza Int'l,LOV,mid,26.955392716069884,-101.46496003175058
Laredo Int'l,LRD,mid,27.54366571758247,-99.45566039765133
Sumburgh,LSI,mid,59.87668995989993,-1.2880606883875354
