name,latitude,longitude
Shimizu,35.01444444,138.509894
Shimotsu,34.11638889,135.1333333
Wakayama,34.22305556,135.1270907
Yokosuka,35.30444444,139.654417
Galle,6.033333333,80.22497055
Ventspils,57.40305556,21.53704358
Frontera,18.53027778,-92.65212014
Minatitlan,17.97583333,-94.53457008
Pajaritos,18.1275,-94.40053004
Santa Rosalia,27.33916667,-112.2584806
Progreso,21.31361111,-89.67055359
Tuxpan,20.94055556,-97.37055359
Kemaman,4.249444444,103.4591873
Den Helder,52.95805556,4.78368669
Dordrecht,51.80583333,4.651413428
Delfzijl,53.32055556,6.955477032
Arendal,58.45416667,8.757420495
Drammen,59.73666667,10.22497055
Halden,59.11805556,11.37532391
Harstad,68.78916667,16.54163722
Larvik,59.04527778,10.02550059
Moss,59.43222222,10.65282686
Sandefjord,59.12361111,10.22497055
Tonsberg,59.265,10.404947
Lyttelton,-43.60611111,172.7102473
Qalhat,22.65666667,59.42055359
Sohar,24.37833333,56.73792697
Balboa,8.955555556,-79.56878681
Cristobal,9.350277778,-79.90477032
Pedregal,8.365,-82.43457008
Callao,-12.04527778,-77.1418139
Matarani,-16.99777778,-72.10424028
Swinoujscie,53.905,14.26861013
Leixoes,41.185,-8.692873969
Setubal,38.48972222,-8.821436985
Aveiro,40.64361111,-8.7196702
Viana do Castelo,41.68638889,-8.823027091
Galati,45.44166667,28.08386337
Nakhodka,42.80472222,132.9075972
Kandalaksha,67.135,32.404947
Kholmsk,47.05055556,142.0400471
Korsakov,46.62666667,142.7584806
Kronshtadt,59.98694444,29.76737338
Nakhodka,42.8,132.8861602
Novorossiysk,44.715,37.80441696
Tuapse,44.09194444,39.06666667
Jubail,27.02861111,49.67090695
Jubail,27.08777778,49.67302709
Ras al Khafji,28.415,48.52249706
Falkenberg,56.88944444,12.47638398
Ahus,55.92555556,14.30547703
Harnosand,62.64083333,17.93881037
Hoganas,56.19861111,12.54146054
Karlshamn,56.1625,14.85830389
Karlskrona,56.16,15.58598351
Nynashamn,58.91333333,17.95812721
Oskarshamn,57.265,16.47073027
Oxelosund,58.66166667,17.10795053
Pitea,65.30888889,21.47037691
Sodertalje,59.16972222,17.65918728
Trelleborg,55.36805556,13.15159011
Uddevalla,58.34805556,11.90477032
Ystad,55.42138889,13.82073027
Bangkok,13.69583333,100.5849234
